Timestamp,Date,Week,Month,Event_Type,Severity,Asset,Source
2024-01-13 06:23:00,2024-01-13,2,2024-01,Malware Detected,High,DB-Server,SIEM
2024-05-06 04:41:00,2024-05-06,19,2024-05,Malware Detected,Low,Web-Server,IDS
2024-09-28 14:03:00,2024-09-28,39,2024-09,Login Failure,High,Endpoint,Firewall
2024-02-11 13:40:00,2024-02-11,6,2024-02,Policy Violation,High,Web-Server,Firewall
2024-12-03 08:13:00,2024-12-03,49,2024-12,Malware Detected,Critical,Endpoint,IDS
2024-01-22 10:45:00,2024-01-22,4,2024-01,Login Failure,Low,Firewall,SIEM
2024-08-22 23:04:00,2024-08-22,34,2024-08,Login Failure,Critical,Firewall,SIEM
2024-04-21 21:54:00,2024-04-21,16,2024-04,Port Scan,Medium,Web-Server,IDS
2024-11-08 21:52:00,2024-11-08,45,2024-11,Policy Violation,Critical,Firewall,IDS
2024-03-20 02:58:00,2024-03-20,12,2024-03,Policy Violation,High,Endpoint,IDS
2024-05-10 19:34:00,2024-05-10,19,2024-05,Login Failure,Low,Firewall,EDR
2024-03-12 21:58:00,2024-03-12,11,2024-03,Login Failure,Low,Web-Server,IDS
2024-11-05 08:51:00,2024-11-05,45,2024-11,Port Scan,Medium,Firewall,IDS
2024-06-17 10:56:00,2024-06-17,25,2024-06,Malware Detected,Critical,Web-Server,SIEM
2024-04-02 17:28:00,2024-04-02,14,2024-04,Login Failure,Critical,Web-Server,EDR
2024-06-22 03:43:00,2024-06-22,25,2024-06,Port Scan,High,Web-Server,Firewall
2024-05-18 01:01:00,2024-05-18,20,2024-05,Login Failure,Critical,Endpoint,IDS
2024-06-04 16:36:00,2024-06-04,23,2024-06,Port Scan,High,Web-Server,SIEM
2024-10-08 04:57:00,2024-10-08,41,2024-10,Port Scan,Low,Endpoint,Firewall
2024-01-02 00:26:00,2024-01-02,1,2024-01,Malware Detected,Medium,Endpoint,IDS
2024-02-03 01:44:00,2024-02-03,5,2024-02,Port Scan,Critical,Firewall,Firewall
2024-12-05 08:18:00,2024-12-05,49,2024-12,Login Failure,High,Web-Server,EDR
2024-12-03 21:19:00,2024-12-03,49,2024-12,Port Scan,High,Firewall,IDS
2024-01-26 13:03:00,2024-01-26,4,2024-01,Malware Detected,Low,Endpoint,IDS
2024-11-14 07:23:00,2024-11-14,46,2024-11,Malware Detected,Medium,Web-Server,Firewall
2024-06-25 06:03:00,2024-06-25,26,2024-06,Policy Violation,Medium,Web-Server,Firewall
2024-03-07 22:54:00,2024-03-07,10,2024-03,Port Scan,Critical,DB-Server,IDS
2024-03-28 12:08:00,2024-03-28,13,2024-03,Port Scan,Medium,Web-Server,SIEM
2024-03-06 13:58:00,2024-03-06,10,2024-03,Login Failure,Low,Web-Server,SIEM
2024-08-31 16:05:00,2024-08-31,35,2024-08,Malware Detected,Low,Endpoint,Firewall
