IOC,Threat Type
CVE-2024-8165,Malicious File Hash (SHA-256)
CVE-2023-2766,Malicious IP
CVE-2022-3332,Phishing Domain
c4db0e1076d9c344f40549b13b939ccbb170a1d5dc79599441a0e9be324f9a1b,Botnet C2
chung.org,Botnet C2
robbins.com,Remote Code Execution
morales-carrillo.com,Remote Code Execution
CVE-2024-5462,Phishing Domain
diaz.com,Botnet C2
223.253.176.92,Remote Code Execution
23994de8c3bb9d63df154bd45e2b4563a8156ee044d1e324ac3ccd4891bf8002,Botnet C2
9a15a54aedd653b98bca57019245bd7a432ab8b3f32e0fdb972d976bf8682854,Phishing Domain
197.249.47.74,Remote Code Execution
CVE-2024-1122,Malicious File Hash (SHA-256)
johnson.com,Malicious File Hash (SHA-256)
164.188.166.175,Malicious IP
edc7365cd8b90381e95ef717da2009c4d8e45e676457e11573e152086389e6e8,Malicious File Hash (SHA-256)
c4de2c5f03e5ac968dff2289930659e86e391d8388560352c72148c5f22c0115,Malicious IP
hurley.biz,Known Attacker
CVE-2023-2119,Phishing Domain
176.191.137.99,Malicious IP
mills.info,Phishing Domain
9924938c7a3f52e96d867dba4a9b7a17335aa5d5230638964594db32f90c9939,Botnet C2
190.171.223.224,Malicious File Hash (SHA-256)
76.179.3.134,Known Attacker
beck.com,Phishing Domain
a3d68398ec8de1a46b5bfcf0b8f74198e71c364dcac14fd7596e9386a4a9ce52,Remote Code Execution
221.10.242.241,Malicious File Hash (SHA-256)
196.19.242.3,Botnet C2
557d349a9e5778d5f5894d1c7d9d756081ac2469a6926a103006db93c64e6828,Malicious IP
16.221.21.86,Botnet C2
216.219.111.20,Malicious IP
174.186.88.200,Malicious IP
hurley.info,Botnet C2
6c6b1d9dc61cd8f0d1a222faf9ae7195c5e55566ff6e2d43329e4ed2085c87e1,Malicious File Hash (SHA-256)
brooks-mitchell.com,Phishing Domain
84.102.206.154,Remote Code Execution
169.31.13.6,Known Attacker
newman.org,Malicious File Hash (SHA-256)
CVE-2024-2221,Remote Code Execution
